charge_point_id,Latitude,Longitude,Network
95,53.46442,-2.212552,Gamma
96,53.448051,-2.229073,Alpha
97,53.486675,-2.201869,Alpha
98,53.486641000000006,-2.201861,Beta
99,53.486622,-2.201852,Alpha
100,53.469517,-2.281916,Delta
101,53.46948199999999,-2.281989,Beta
102,53.469566,-2.282036,Delta
103,53.488009999999996,-2.286412,Delta
104,53.488009999999996,-2.286651,Alpha
105,53.467251,-2.282619,Alpha
106,53.467251,-2.2827189999999997,Beta
107,53.485817000000004,-2.192396,Delta
108,53.485817000000004,-2.192296,Delta
109,53.536549,-2.2429,Beta
110,53.536549,-2.2429,Beta
111,53.48433299999999,-2.191452,Gamma
112,53.439903,-2.218298,Beta
113,53.439903,-2.218198,Alpha
114,53.458939,-2.2875400000000004,Alpha
115,53.458839000000005,-2.2875400000000004,Beta
116,53.440121,-2.2713799999999997,Gamma
117,53.440121,-2.2713799999999997,Alpha
118,53.440918,-2.272748,Beta
119,53.44641899999999,-2.2800689999999997,Gamma
120,53.44641899999999,-2.280169,Beta
121,53.446197999999995,-2.280055,Delta
122,53.474216000000006,-2.297631,Beta
123,53.474216000000006,-2.297731,Gamma
124,53.474216000000006,-2.297831,Beta
125,53.474216000000006,-2.297931,Delta
126,53.428909,-2.22535,Gamma
127,53.534241,-2.28355,Gamma
128,53.53434,-2.28355,Beta
129,53.547668,-2.20132,Beta
130,53.547668,-2.20032,Delta
131,53.543262,-2.29188,Beta
132,53.444187,-2.3075330000000003,Alpha
133,53.444187,-2.307543,Alpha
134,53.485721999999996,-2.320119,Delta
135,53.486038,-2.320214,Alpha
136,53.486439000000004,-2.3202689999999997,Beta
137,53.486439000000004,-2.3202689999999997,Beta
138,53.486355,-2.320277,Alpha
139,53.411818999999994,-2.217997,Gamma
140,53.411818999999994,-2.217996,Beta
141,53.41184200000001,-2.217629,Beta
142,53.41184200000001,-2.217628,Beta
143,53.41184200000001,-2.217628,Beta
144,53.41184200000001,-2.2176270000000002,Alpha
145,53.550411,-2.19632,Beta
146,53.550411,-2.1962200000000003,Gamma
147,53.550224,-2.195672,Delta
148,53.409279000000005,-2.22187,Delta
149,53.409279000000005,-2.22187,Gamma
150,53.409279000000005,-2.22187,Alpha
151,53.408156999999996,-2.2620080000000002,Beta
152,53.408156999999996,-2.262108,Gamma
153,53.574898,-2.278198,Gamma
154,53.51622,-2.149317,Gamma
155,53.51622,-2.1492169999999997,Gamma
156,53.483020999999994,-2.3405,Alpha
157,53.483020999999994,-2.3405,Gamma
158,53.512798,-2.337542,Alpha
159,53.510281000000006,-2.33827,Beta
160,53.510281000000006,-2.33827,Delta
161,53.512856000000006,-2.33764,Delta
162,53.512856000000006,-2.33764,Gamma
163,53.42794,-2.32338,Alpha
164,53.473839,-2.143496,Gamma
165,53.51916899999999,-2.147945,Beta
166,53.519268000000004,-2.147945,Delta
167,53.420715,-2.162297,Beta
168,53.420715,-2.162297,Gamma
169,53.464966000000004,-2.34422,Gamma
170,53.465015,-2.344624,Gamma
171,53.46584300000001,-2.345189,Alpha
172,53.465743999999994,-2.345189,Alpha
173,53.465644999999995,-2.345189,Delta
174,53.465542000000006,-2.345189,Gamma
175,53.46544300000001,-2.345189,Delta
176,53.465343000000004,-2.345189,Gamma
177,53.468498,-2.34587,Alpha
178,53.468899,-2.34597,Alpha
179,53.466072,-2.345668,Delta
180,53.380791,-2.2649,Beta
181,53.380791,-2.2649,Beta
182,53.491482,-2.351111,Gamma
183,53.491482,-2.351211,Beta
184,53.40803100000001,-2.16486,Alpha
185,53.40803100000001,-2.1638599999999997,Gamma
186,53.390877,-2.184809,Beta
187,53.390877,-2.184809,Gamma
188,53.390831000000006,-2.184796,Beta
189,53.390831000000006,-2.184796,Delta
190,53.465874,-2.353022,Beta
191,53.465775,-2.353022,Alpha
192,53.465672,-2.353022,Gamma
193,53.465571999999995,-2.353022,Alpha
194,53.465472999999996,-2.353022,Gamma
195,53.465374,-2.353022,Beta
196,53.409966000000004,-2.158377,Gamma
197,53.409966000000004,-2.1583669999999997,Gamma
198,53.37254,-2.254052,Beta
199,53.372508999999994,-2.254122,Alpha
200,53.372505000000004,-2.254212,Gamma
201,53.372482,-2.254207,Alpha
202,53.60106700000001,-2.2566509999999997,Beta
203,53.60106700000001,-2.256751,Alpha
204,53.41061,-2.154428,Gamma
205,53.41061,-2.154428,Gamma
206,53.589909,-2.294633,Delta
207,53.589957999999996,-2.294709,Beta
208,53.405998,-2.15705,Beta
209,53.590977,-2.295268,Gamma
210,53.590977,-2.2952779999999997,Beta
211,53.545288,-2.136472,Beta
212,53.545288,-2.136462,Delta
213,53.59304399999999,-2.301286,Beta
214,53.59304399999999,-2.301296,Delta
215,53.486098999999996,-2.11883,Gamma
216,53.452629,-2.37023,Gamma
217,53.45253,-2.37023,Gamma
218,53.49781,-2.37677,Beta
219,53.542018999999996,-2.1179099999999997,Beta
220,53.602798,-2.17109,Alpha
221,53.54232,-2.11738,Delta
222,53.54232,-2.11738,Beta
223,53.54232,-2.11738,Alpha
224,53.54232,-2.11738,Gamma
225,53.542018999999996,-2.11691,Delta
226,53.540516000000004,-2.11607,Beta
227,53.540516000000004,-2.11606,Delta
228,53.356643999999996,-2.290664,Beta
229,53.356606000000006,-2.290598,Delta
230,53.553332999999995,-2.120889,Alpha
231,53.553332999999995,-2.120789,Delta
232,53.538799,-2.112677,Alpha
233,53.5387,-2.110877,Gamma
234,53.542759,-2.112509,Delta
235,53.542759,-2.112409,Alpha
236,53.602509,-2.159948,Alpha
237,53.60319499999999,-2.1600759999999997,Beta
238,53.603264,-2.159986,Alpha
239,53.48895600000001,-2.0980000000000003,Delta
240,53.500999,-2.3864,Gamma
241,53.591685999999996,-2.142325,Alpha
242,53.444263,-2.384416,Delta
243,53.444263,-2.384426,Gamma
244,53.386784,-2.354004,Alpha
245,53.386784,-2.354104,Gamma
246,53.48993299999999,-2.091637,Gamma
247,53.48993299999999,-2.091627,Beta
248,53.356030000000004,-2.16383,Alpha
249,53.469425,-2.0897229999999998,Beta
250,53.469425,-2.089623,Gamma
251,53.615204000000006,-2.1587080000000003,Delta
252,53.61541,-2.1590130000000003,Gamma
253,53.610336,-2.151437,Delta
254,53.610336,-2.151337,Alpha
255,53.61549,-2.158809,Beta
256,53.610336,-2.151237,Delta
257,53.610336,-2.151137,Beta
258,53.61557,-2.158619,Alpha
259,53.35445,-2.1619,Gamma
260,53.615601,-2.158477,Delta
261,53.397034,-2.3692580000000003,Gamma
262,53.397034,-2.3692580000000003,Gamma
263,53.397034,-2.3692580000000003,Alpha
264,53.49016999999999,-2.0874599999999996,Alpha
265,53.49016999999999,-2.0874599999999996,Beta
266,53.550205000000005,-2.101159,Delta
267,53.550217,-2.101071,Alpha
268,53.550316,-2.101071,Alpha
269,53.616325,-2.154849,Beta
270,53.524792000000005,-2.3986,Gamma
271,53.524891000000004,-2.3986,Beta
272,53.577881000000005,-2.09501,Delta
273,53.577980000000004,-2.09501,Delta
274,53.647381,-2.3173790000000003,Delta
275,53.647381,-2.317389,Alpha
276,53.53846,-2.07153,Alpha
277,53.538437,-2.071466,Delta
278,53.484646,-2.062255,Delta
279,53.484638000000004,-2.062207,Gamma
280,53.442699,-2.422695,Delta
281,53.442699,-2.4227950000000003,Alpha
282,53.575683999999995,-2.430774,Gamma
283,53.575782999999994,-2.430774,Delta
284,53.575886,-2.430774,Alpha
285,53.575984999999996,-2.430774,Beta
286,53.576083999999994,-2.430774,Beta
287,53.57618299999999,-2.430774,Delta
288,53.582336,-2.43112,Alpha
289,53.582336,-2.43112,Beta
290,53.582535,-2.43112,Delta
291,53.582638,-2.43112,Gamma
292,53.582737,-2.43112,Gamma
293,53.582836,-2.43112,Gamma
294,53.573391,-2.4416130000000003,Delta
295,53.57349,-2.4416130000000003,Gamma
296,53.573593,-2.4416130000000003,Gamma
297,53.573692,-2.4416130000000003,Alpha
298,53.573792000000005,-2.4416130000000003,Gamma
299,53.573891,-2.4416130000000003,Beta
300,53.701664,-2.284336,Alpha
301,53.701714,-2.2844,Beta
302,53.701714,-2.2844,Alpha
303,53.701721,-2.200575,Delta
304,53.701846999999994,-2.2006229999999998,Alpha
305,53.701846999999994,-2.2006229999999998,Gamma
306,53.701855,-2.2845470000000003,Beta
307,53.302479000000005,-2.3690849999999997,Alpha
308,53.302479000000005,-2.3690849999999997,Gamma
309,53.706261,-2.3251009999999996,Gamma
310,53.706261,-2.3251009999999996,Delta
311,53.706318,-2.325097,Beta
312,53.706318,-2.325097,Delta
313,53.49292,-2.48058,Delta
314,53.493019,-2.48058,Delta
315,53.26067,-2.12513,Beta
316,53.497733999999994,-2.513937,Gamma
317,53.497733999999994,-2.513947,Beta
318,53.495422,-2.515212,Delta
319,53.495438,-2.5171650000000003,Beta
320,53.495438,-2.517175,Alpha
321,53.498183999999995,-2.518179,Gamma
322,53.498183999999995,-2.518189,Delta
323,53.497829,-2.51838,Gamma
324,53.497929000000006,-2.51838,Alpha
325,53.497929000000006,-2.51838,Alpha
326,53.497929000000006,-2.51838,Alpha
327,53.462498,-1.9668900000000002,Delta
328,53.497288,-2.51936,Beta
329,53.497386999999996,-2.51936,Beta
330,53.753223,-2.363204,Alpha
331,53.753254000000005,-2.3631849999999996,Gamma
332,53.753254000000005,-2.3631849999999996,Delta
333,53.75328100000001,-2.3631990000000003,Gamma
334,53.75328100000001,-2.3631990000000003,Gamma
335,53.444103000000005,-1.951701,Gamma
336,53.444103000000005,-1.951701,Delta
337,53.444103000000005,-1.951701,Alpha
338,53.444103000000005,-1.951701,Beta
339,53.75269300000001,-2.366039,Gamma
340,53.753189,-2.3656490000000003,Beta
341,53.442440000000005,-1.95065,Gamma
342,53.746292000000004,-2.393121,Gamma
343,53.746292000000004,-2.393121,Beta
344,53.746292000000004,-2.393121,Gamma
345,53.746371999999994,-2.393066,Beta
346,53.746371999999994,-2.393066,Beta
347,53.330879,-1.9827099999999998,Beta
348,53.200390000000006,-2.3470310000000003,Gamma
349,53.791187,-2.242149,Gamma
350,53.79124100000001,-2.2421580000000003,Beta
351,53.79129399999999,-2.242172,Gamma
352,53.79129399999999,-2.242172,Gamma
353,53.791325,-2.242194,Delta
354,53.583637,-2.53652,Delta
355,53.583637,-2.53652,Gamma
356,53.583664,-2.536563,Alpha
357,53.583675,-2.5366049999999998,Alpha
358,53.583675,-2.5366049999999998,Beta
359,53.800526,-2.312247,Beta
360,53.809695999999995,-2.234595,Alpha
361,53.599751,-2.54712,Gamma
362,53.599751,-2.54713,Delta
363,53.3969,-2.55558,Alpha
364,53.784718000000005,-2.408073,Alpha
365,53.784718000000005,-2.408073,Beta
366,53.784817000000004,-2.408019,Delta
367,53.784817000000004,-2.408019,Gamma
368,53.8354,-2.2174,Alpha
369,53.152103000000004,-2.348177,Alpha
370,53.151775,-2.3485419999999997,Alpha
371,53.387775,-2.590706,Beta
372,53.387753000000004,-2.590732,Gamma
373,53.387730000000005,-2.590789,Alpha
374,53.387691000000004,-2.5907810000000002,Beta
375,53.387691000000004,-2.5907810000000002,Beta
376,53.387703,-2.590818,Beta
377,53.387703,-2.590818,Delta
378,53.387668999999995,-2.590818,Beta
379,53.387688,-2.590853,Alpha
380,53.38765,-2.5908580000000003,Alpha
381,53.387661,-2.590904,Alpha
382,53.387661,-2.590904,Beta
383,53.387694999999994,-2.590922,Alpha
384,53.387694999999994,-2.590922,Delta
385,53.38763,-2.590906,Alpha
386,53.38763,-2.590906,Beta
387,53.4814,-2.60455,Delta
388,53.387611,-2.590949,Alpha
389,53.387611,-2.590949,Alpha
390,53.387671999999995,-2.5909709999999997,Beta
391,53.387584999999994,-2.590995,Gamma
392,53.38765,-2.591026,Delta
393,53.38765,-2.591026,Alpha
394,53.480701,-2.6046400000000003,Gamma
395,53.387558,-2.591048,Beta
396,53.387558,-2.591048,Delta
397,53.387627,-2.591072,Gamma
398,53.387627,-2.591072,Beta
399,53.387535,-2.591097,Beta
400,53.387535,-2.591097,Delta
401,53.38760799999999,-2.591122,Alpha
402,53.38760799999999,-2.591122,Beta
403,53.387508,-2.59114,Gamma
404,53.387508,-2.59114,Gamma
405,53.387581000000004,-2.591165,Delta
406,53.38748199999999,-2.591189,Delta
407,53.38748199999999,-2.591189,Delta
408,53.387558,-2.591214,Beta
409,53.387558,-2.591214,Delta
410,53.387535,-2.591263,Gamma
411,53.387451,-2.59125,Beta
412,53.387451,-2.59125,Gamma
413,53.387516000000005,-2.5913060000000003,Gamma
414,53.387516000000005,-2.5913060000000003,Alpha
415,53.387423999999996,-2.591303,Gamma
416,53.387423999999996,-2.591303,Gamma
417,53.387496999999996,-2.591352,Beta
418,53.387496999999996,-2.591352,Beta
419,53.387485999999996,-2.591385,Delta
420,53.387455,-2.591438,Alpha
421,53.42071899999999,-2.5993630000000003,Alpha
422,53.420643000000005,-2.599431,Alpha
423,53.420643000000005,-2.599431,Alpha
424,53.4804,-2.6055,Beta
425,53.32402,-1.9174900000000001,Alpha
426,53.145270999999994,-2.37046,Delta
427,53.452999,-2.61134,Delta
428,53.452991000000004,-2.61134,Alpha
429,53.820751,-2.406547,Gamma
430,53.452946,-2.613825,Beta
431,53.452934,-2.613881,Delta
432,53.386089,-2.60257,Gamma
433,53.821856999999994,-2.407003,Beta
434,53.253799,-2.5373799999999997,Beta
435,53.856712,-2.170664,Delta
436,53.856712,-2.170664,Delta
437,53.856728000000004,-2.170631,Delta
438,53.856728000000004,-2.170631,Gamma
439,53.856761999999996,-2.170544,Delta
440,53.856761999999996,-2.170544,Gamma
441,53.46241,-2.62593,Delta
442,53.477402000000005,-2.6341,Gamma
443,53.262241,-1.92084,Gamma
444,53.262218000000004,-1.9208020000000001,Delta
445,53.408919999999995,-2.629432,Gamma
446,53.408882,-2.629443,Gamma
447,53.411476,-2.63299,Gamma
448,53.547291,-2.636972,Delta
449,53.547291,-2.6369849999999997,Gamma
450,53.547291,-2.636995,Beta
451,53.545441000000004,-2.637474,Beta
452,53.545441000000004,-2.6375740000000003,Gamma
453,53.545441000000004,-2.637674,Alpha
454,53.545441000000004,-2.6377740000000003,Delta
455,53.259209,-1.907894,Beta
456,53.394653000000005,-2.637881,Gamma
457,53.39468000000001,-2.637938,Alpha
458,53.39468000000001,-2.6379490000000003,Delta
459,53.394627,-2.637953,Alpha
460,53.3946,-2.638034,Delta
461,53.394622999999996,-2.6380689999999998,Alpha
462,53.394684,-2.638177,Alpha
463,53.257431000000004,-1.89835,Beta
464,53.257439,-1.8982990000000002,Beta
465,53.25745799999999,-1.8981400000000002,Alpha
466,53.25746899999999,-1.898068,Gamma
467,53.87342099999999,-2.389743,Alpha
468,53.87342099999999,-2.389743,Delta
469,53.87353100000001,-2.3894580000000003,Gamma
470,53.87353100000001,-2.3894580000000003,Delta
471,53.873562,-2.389391,Delta
472,53.873562,-2.389391,Alpha
473,53.873622999999995,-2.389268,Beta
474,53.873622999999995,-2.389268,Alpha
475,53.649043999999996,-2.630431,Delta
476,53.649043999999996,-2.630431,Gamma
477,53.64864,-2.631065,Alpha
478,53.650822,-2.631524,Beta
479,53.650859999999994,-2.6315180000000002,Beta
480,53.093624,-2.4131299999999998,Alpha
481,53.057083,-2.190857,Beta
482,53.135899,-1.9892299999999998,Gamma
483,53.13588000000001,-1.98917,Gamma
484,53.092781,-2.42295,Alpha
485,53.916149,-2.186184,Alpha
486,53.91621800000001,-2.186275,Delta
487,53.098179,-2.43877,Delta
488,53.097179000000004,-2.43877,Gamma
489,53.55342099999999,-2.6734970000000002,Delta
490,53.09173199999999,-2.430318,Beta
491,53.050568000000005,-2.191473,Gamma
492,53.05048000000001,-2.1913240000000003,Delta
493,53.090355,-2.431975,Delta
494,53.086899,-2.42714,Delta
495,53.048576000000004,-2.192185,Gamma
496,53.915969999999994,-2.143891,Beta
497,53.915969999999994,-2.143891,Gamma
498,53.916039000000005,-2.143786,Alpha
499,53.916039000000005,-2.143786,Beta
500,53.082699,-2.42367,Alpha
501,53.365069999999996,-2.673946,Delta
502,53.327229,-2.665828,Delta
503,53.655471999999996,-1.8206,Gamma
504,53.655471999999996,-1.8206,Beta
505,53.718739,-2.64033,Gamma
506,53.7192,-2.640549,Alpha
507,53.028641,-2.176514,Alpha
508,53.028641,-2.176514,Delta
509,53.022865,-2.1762330000000003,Alpha
510,53.022766000000004,-2.176133,Gamma
511,53.022696999999994,-2.1759049999999998,Gamma
512,53.022675,-2.175966,Alpha
513,53.022663,-2.1760330000000003,Delta
514,53.02265500000001,-2.176044,Beta
515,53.099701,-2.5091,Beta
516,53.719280000000005,-2.654619,Beta
517,53.006133999999996,-2.212308,Delta
518,53.006035,-2.2122080000000004,Beta
519,53.457062,-2.7250900000000002,Beta
520,53.451241,-2.72609,Gamma
521,53.450858999999994,-2.7269200000000002,Gamma
522,53.427299,-2.72477,Beta
523,53.4272,-2.72477,Alpha
524,53.452659999999995,-2.73028,Alpha
525,53.645939,-1.7785799999999998,Alpha
526,53.690819,-2.698892,Alpha
527,53.690822999999995,-2.6989799999999997,Gamma
528,52.989245999999994,-2.172786,Delta
529,53.673012,-1.7767549999999999,Delta
530,52.985802,-2.1735700000000002,Gamma
531,52.990574,-2.142039,Beta
532,52.990551,-2.1419799999999998,Delta
533,52.990531999999995,-2.1419200000000003,Alpha
534,53.869186,-1.910432,Delta
535,52.978928,-2.2246259999999998,Delta
536,53.455330000000004,-2.74967,Alpha
537,53.591099,-2.7422,Gamma
538,53.342659,-2.73316,Beta
539,53.749554,-2.681331,Alpha
540,53.749554,-2.681331,Gamma
541,53.749596,-2.681311,Gamma
542,53.749522999999996,-2.681403,Delta
543,53.74949599999999,-2.681445,Alpha
544,53.348301,-1.7446,Beta
545,53.786377,-2.673405,Beta
546,53.424217000000006,-2.765854,Delta
547,53.33697900000001,-2.74904,Gamma
548,53.756809,-2.6974099999999996,Alpha
549,53.756809,-2.6974099999999996,Beta
550,53.756907999999996,-2.69751,Gamma
551,53.756907999999996,-2.69751,Delta
552,53.760738,-2.695657,Beta
553,53.760738,-2.695657,Gamma
554,53.760838,-2.695757,Beta
555,53.760838,-2.695757,Gamma
556,53.760937,-2.695857,Alpha
557,53.760937,-2.695857,Beta
558,53.756016,-2.702467,Delta
559,53.756065,-2.702493,Beta
560,53.756065,-2.702493,Gamma
561,53.756104,-2.702499,Gamma
562,53.756104,-2.702499,Gamma
563,53.756145,-2.702523,Beta
564,53.344975,-1.727768,Gamma
565,53.761604000000005,-2.701257,Delta
566,52.957817000000006,-2.106634,Beta
567,53.792561,-1.789223,Delta
568,53.792614,-1.789202,Gamma
569,53.793201,-2.697,Beta
570,53.549061,-2.8050509999999997,Gamma
571,53.549026,-2.805127,Gamma
572,53.549015000000004,-2.805236,Beta
573,53.549018999999994,-2.805301,Delta
574,53.800472,-2.715475,Alpha
575,53.55018199999999,-2.806867,Gamma
576,53.550201,-2.806906,Delta
577,53.769028000000006,-1.7377900000000002,Alpha
578,53.835949,-1.776874,Delta
579,53.761002000000005,-2.76105,Beta
580,53.784957999999996,-2.752015,Beta
581,53.853072999999995,-1.7654,Gamma
582,52.88391899999999,-2.17073,Alpha
583,52.883888,-2.1707,Beta
584,52.883858,-2.170659,Delta
585,52.88381999999999,-2.170605,Alpha
586,53.349509999999995,-2.83906,Alpha
587,53.525627,-1.6273799999999998,Beta
588,52.908478,-2.4867049999999997,Alpha
589,52.908478,-2.4867049999999997,Gamma
590,53.70211,-1.6513099999999998,Delta
591,53.214661,-1.6744599999999998,Beta
592,53.214661,-1.6744599999999998,Delta
593,53.21463000000001,-1.6744299999999999,Delta
594,53.214615,-1.6744169999999998,Gamma
595,53.214615,-1.6744169999999998,Beta
596,53.214626,-1.6743279999999998,Gamma
597,53.218368999999996,-1.6722700000000001,Alpha
598,53.218357,-1.672093,Gamma
599,53.565346,-2.8822240000000003,Beta
600,53.565383999999995,-2.8822509999999997,Delta
601,53.565437,-2.882587,Alpha
602,53.568165,-2.884616,Beta
603,53.568165,-2.884616,Alpha
604,53.568138,-2.88464,Alpha
605,53.568138,-2.88464,Alpha
606,53.568111,-2.8846689999999997,Gamma
607,53.568111,-2.8846689999999997,Alpha
608,53.56808100000001,-2.884705,Gamma
609,53.570278,-2.8846119999999997,Delta
610,53.570301,-2.8846849999999997,Beta
611,53.570316000000005,-2.88478,Beta
612,53.57034300000001,-2.8849009999999997,Beta
613,53.57034300000001,-2.8849009999999997,Delta
614,53.569012,-2.886039,Delta
615,53.568989,-2.886063,Gamma
616,53.568939,-2.8860930000000002,Beta
617,53.568886,-2.886117,Gamma
618,53.568886,-2.886117,Alpha
619,53.347556999999995,-2.879411,Delta
620,53.406158,-2.891039,Delta
621,53.412181999999994,-2.89606,Beta
622,53.419441000000006,-2.8973400000000002,Gamma
623,53.805923,-1.662853,Beta
624,53.745219999999996,-1.623884,Alpha
625,52.822207999999996,-2.1346,Alpha
626,53.205009,-2.854402,Alpha
627,53.205048,-2.8544490000000002,Alpha
628,52.967686,-2.679576,Beta
629,52.967686,-2.679576,Alpha
630,53.73669399999999,-1.610056,Gamma
631,53.470036,-2.923381,Delta
632,53.470036,-2.923381,Alpha
633,53.4701,-2.923404,Delta
634,52.810577,-2.110068,Gamma
635,52.810562,-2.110011,Alpha
636,52.815338,-2.08468,Delta
637,52.81533100000001,-2.08468,Gamma
638,52.81533100000001,-2.08468,Beta
639,52.815189000000004,-2.0848,Alpha
640,52.815189000000004,-2.0848,Gamma
641,52.806511,-2.12265,Gamma
642,52.811131,-2.0954,Beta
643,52.807251,-2.113,Alpha
644,52.807217,-2.112858,Beta
645,52.807205,-2.1128009999999997,Beta
646,52.807198,-2.112723,Delta
647,52.804007999999996,-2.12217,Gamma
648,52.803909,-2.12217,Alpha
649,52.805068999999996,-2.1146119999999997,Alpha
650,52.80341,-2.1209700000000002,Delta
651,52.80341,-2.1209700000000002,Beta
652,53.016876,-1.730464,Delta
653,53.016899,-1.7304,Delta
654,53.016921999999994,-1.7303680000000001,Gamma
655,53.01694499999999,-1.730316,Gamma
656,52.898701,-1.86798,Beta
657,53.392540000000004,-1.5488110000000002,Delta
658,52.800564,-2.097137,Delta
659,52.798203,-2.108489,Delta
660,52.896980000000006,-1.86263,Gamma
661,53.474911,-2.9535,Beta
662,53.190360999999996,-2.895073,Alpha
663,53.190360999999996,-2.895073,Alpha
664,53.4216,-2.95717,Delta
665,53.4216,-2.95717,Delta
666,53.757652,-1.575334,Alpha
667,53.757748,-1.5752899999999999,Alpha
668,53.380798,-2.955392,Delta
669,53.18981899999999,-2.899691,Delta
670,53.399131999999994,-2.9590099999999997,Delta
671,53.399181000000006,-2.959043,Alpha
672,53.399181000000006,-2.959043,Beta
673,53.753344999999996,-1.571942,Delta
674,53.753368,-1.571798,Gamma
675,53.39823199999999,-2.96002,Beta
676,53.398506000000005,-2.9607040000000002,Alpha
677,53.776913,-1.576236,Delta
678,53.549114,-1.517058,Gamma
679,53.468201,-2.97085,Alpha
680,53.194275,-2.913102,Delta
681,53.199093000000005,-2.917303,Beta
682,53.199093000000005,-2.917303,Gamma
683,53.199066,-2.917349,Alpha
684,53.767391,-1.564538,Beta
685,53.40472,-2.97555,Delta
686,53.404621,-2.97555,Alpha
687,53.383579000000005,-2.97723,Delta
688,53.81955,-1.575275,Gamma
689,53.151089,-1.57489,Gamma
690,53.151089,-1.57489,Delta
691,53.400291,-2.986771,Delta
692,53.40073,-2.98806,Alpha
693,53.7967,-1.55824,Gamma
694,53.7967,-1.55824,Delta
695,53.796577,-1.5580559999999999,Delta
696,53.796577,-1.5580559999999999,Beta
697,53.796131,-1.5578299999999998,Delta
698,53.444396999999995,-2.993455,Alpha
699,53.80791899999999,-1.562417,Delta
700,53.44545,-2.99398,Delta
701,53.632858,-2.98123,Alpha
702,53.397667000000006,-2.990834,Alpha
703,53.80838000000001,-1.55883,Beta
704,53.795238,-1.552532,Gamma
705,53.664398,-1.5072,Delta
706,53.18131999999999,-1.5493940000000002,Delta
707,53.18131999999999,-1.5493940000000002,Beta
708,53.80713299999999,-1.556183,Delta
709,53.427558999999995,-1.486815,Alpha
710,53.407222999999995,-2.9964459999999997,Gamma
711,53.29737900000001,-2.97705,Delta
